name	taglines	imdb_rating	release_date	runtimes	countries	rated	genre	summary	director	cast	poster	screenshot1	screenshot2	screenshot3
Spies in Disguise	Super Spy. Super Fly.	 6.8	Dec. 04, 2019	102 Min.	United States	PG	('Adventure', 'Action', 'Animation', 'Comedy')	 Super spy Lance Sterling and scientist Walter Beckett are almost exact opposites. Lance is smooth, suave and debonair. Walter is… not. But what Walter lacks in social skills he makes up for in smarts and invention, creating the awesome gadgets Lance uses on his epic missions. But when events take an unexpected turn, Walter and Lance suddenly have to rely on each other in a whole new way. 	Troy Quane	('Rachel Brosnahan', 'Tom Holland', 'Masi Oka', 'DJ Khaled', 'Ben Mendelsohn', 'Reba McEntire', 'Rashida Jones', 'Karen Gillan', 'Mark Ronson', 'Will Smith')	https://image.tmdb.org/t/p/w185/30YacPAcxpNemhhwX0PVUl9pVA3.jpg	https://image.tmdb.org/t/p/original/qlYxtqVfu2LOdvYMMDPCSGX0Oz0.jpg	https://image.tmdb.org/t/p/original/lwSOhnpwrzjtKi2RD3e5RAcGzvt.jpg	https://image.tmdb.org/t/p/original/uG1v9Hk1XKICd6IJChRR20mBh8i.jpg
Jumanji: The Next Level		 6.7	Dec. 04, 2019	123 Min.	United States	PG-13	('Adventure', 'Fantasy', 'Comedy')	 As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game. 	Jake Kasdan	"('Dwayne Johnson', 'Madison Iseman', 'Alex Wolff', 'Nick Jonas', ""Ser'Darius Blain"", 'Jack Black', 'Awkwafina', 'Morgan Turner', 'Karen Gillan', 'Kevin Hart')"	https://image.tmdb.org/t/p/w185/bB42KDdfWkOvmzmYkmK58ZlCa9P.jpg	https://image.tmdb.org/t/p/original/zTxHf9iIOCqRbxvl8W5QYKrsMLq.jpg	https://image.tmdb.org/t/p/original/oLma4sWjqlXVr0E3jpaXQCytuG9.jpg	https://image.tmdb.org/t/p/original/noMvJUYVB9LUJClftPbQT78TUlQ.jpg
Knives Out	Hell, any of them could have done it.	 7.9	Nov. 27, 2019	131 Min.	United States	PG-13	('Mystery', 'Comedy', 'Crime', 'Drama', 'Thriller')	 When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan’s dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan’s untimely death. 	Rian Johnson	('Katherine Langford', 'Toni Collette', 'Jamie Lee Curtis', 'Don Johnson', 'Christopher Plummer', 'Chris Evans', 'Michael Shannon', 'Lakeith Stanfield', 'Ana de Armas', 'Daniel Craig')	https://image.tmdb.org/t/p/w185/pThyQovXQrw2m0s9x82twj48Jq4.jpg	https://image.tmdb.org/t/p/original/AbRYlvwAKHs0YuyNO6NX9ofq4l6.jpg	https://image.tmdb.org/t/p/original/oPWsKIy84IYaQgUBW9g7X4LYab8.jpg	https://image.tmdb.org/t/p/original/fkdMSS93pFBzNW9OByNpi8i2UYg.jpg
Frozen II	The past is not what it seems.	 7	Nov. 20, 2019	104 Min.	United States	PG	('Adventure', 'Family', 'Animation')	 Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom. 	Chris Buck	('Evan Rachel Wood', 'Alfred Molina', 'Jason Ritter', 'Martha Plimpton', 'Rachel Matthews', 'Idina Menzel', 'Kristen Bell', 'Josh Gad', 'Jonathan Groff', 'Sterling K. Brown')	https://image.tmdb.org/t/p/w185/h6Wi81XNXCjTAcdstiCLRykN3Pa.jpg	https://image.tmdb.org/t/p/original/xJWPZIYOEFIjZpBL7SVBGnzRYXp.jpg	https://image.tmdb.org/t/p/original/cnA434G2b8m95dp76AKMhM1ufku.jpg	https://image.tmdb.org/t/p/original/2niqBT3WmbsR8fy07URik6fFJIf.jpg
The Coma	Will We Ever Wake Up?	 6.5	Nov. 19, 2019	101 Min.	Russia	N/A	('Romance', 'Adventure', 'Action', 'Fantasy')	 After a colossal and mysterious accident a young talented architect comes back to his senses in a very odd world that only resembles the reality. This world is based on the memories of the ones who live in it – people who are currently finding themselves in a deep coma. Human memory is spotty, chaotic and unstable. The same is the COMA – odd collection of memories and recollections – cities, glaciers and rivers can all be found in one room. All the laws of physics can be broken. The architect must find out the exact laws and regulations of COMA as he fights for his life, meets the love of his life and keeps on looking for the exit to the real world which he will have to get acquainted with all over again after the experience of COMA. 	Nikita Argunov	('Rinal Mukhametov', 'Anton Pampushnyy', 'Konstantin Lavronenko', 'Lyubov Aksyonova', 'Rostislav Gulbis', 'Igor Sigaev', 'Vilen Babichev', 'Miloš Biković', 'Evgeniya Karatygina', 'Polina Kuzminskaya')	https://image.tmdb.org/t/p/w185/v1DbnzXChoymNghOGAjFUZ9KYP1.jpg	https://image.tmdb.org/t/p/original/oVLGuq431nF3f0yDi07q1gL4ehK.jpg	https://image.tmdb.org/t/p/original/3ZhokLrxotVZ3Xitw6oyt4qDFs9.jpg	https://image.tmdb.org/t/p/original/3GzHBheIVEmVt81DmAMYL0PazBw.jpg
The Silence of the Marsh		 5	Nov. 15, 2019	92 Min.	Spain	TV-MA	('Thriller',)	 A successful, cold-blooded crime novelist gets involved in a kidnapping case while uncovering the corrupt ties between politicians and the local mafia in Valencia, Spain. 	Marc Vigil	('Maite Sandoval', 'Àlex Monner', 'Nacho Fresneda', 'Carmina Barrios', 'Pedro Alonso', 'Javier Godino', 'Zaira Romero', 'José Ángel Egido', 'Raúl Prieto', 'Miguel Ángel Romo')	https://image.tmdb.org/t/p/w185/vwBelKkECxMdN1UMhwqitPIFsjB.jpg	https://image.tmdb.org/t/p/original/twlb13GssirKnyF3uqP8E0bpxRS.jpg	https://image.tmdb.org/t/p/original/8ZyfHdMAvEd68OcQWeBpieef17D.jpg	https://image.tmdb.org/t/p/original/uf3owLgtrh5L8jxtKnm6x2N19IF.jpg
Uncut Gems	This is how I win.	 7.5	Nov. 14, 2019	136 Min.	United States	R	('Comedy', 'Drama', 'Thriller', 'Crime')	 A charismatic New York City jeweler always on the lookout for the next big score makes a series of high-stakes bets that could lead to the windfall of a lifetime. Howard must perform a precarious high-wire act, balancing business, family, and encroaching adversaries on all sides in his relentless pursuit of the ultimate win. 	Josh Safdie	('Judd Hirsch', 'Julia Fox', 'John Amos', 'Kevin Garnett', 'Trinidad James', 'Lakeith Stanfield', 'Adam Sandler', 'Idina Menzel', 'Tilda Swinton', 'Abel Tesfaye')	https://image.tmdb.org/t/p/w185/6XN1vxHc7kUSqNWtaQKN45J5x2v.jpg	https://image.tmdb.org/t/p/original/5qTZGBHJNq6riBliYtOnH4yUN6x.jpg	https://image.tmdb.org/t/p/original/uzvT6tYrU5SxfHe1ieimIGAqyFm.jpg	https://image.tmdb.org/t/p/original/gN4ahTRnj0Z5ctYaHpeFTMSKqKD.jpg
Charlie’s Angels	Unseen. Undivided. Unstoppable.	 4.6	Nov. 14, 2019	118 Min.	United States	PG-13	('Adventure', 'Action', 'Comedy')	 When a systems engineer blows the whistle on a dangerous technology, Charlie’s Angels from across the globe are called into action, putting their lives on the line to protect society. 	Elizabeth Banks	('Sam Claflin', 'Nat Faxon', 'Chris Pang', 'Naomi Scott', 'Ella Balinska', 'Patrick Stewart', 'Kristen Stewart', 'Elizabeth Banks', 'Djimon Hounsou', 'Jonathan Tucker')	https://image.tmdb.org/t/p/w185/1DPUFG6QnGqzpvEaDEv7TaepycM.jpg	https://image.tmdb.org/t/p/original/a0xTB1vBxMGt6LGG4N7k1wO9lfL.jpg	https://image.tmdb.org/t/p/original/5NjG3s5V2ytMwydRz967w5ea8aZ.jpg	https://image.tmdb.org/t/p/original/kITQJHo88wMaXS2QjcMHh55ulti.jpg
Ford v Ferrari	They took the American dream for a ride	 8.1	Nov. 13, 2019	152 Min.	United States	PG-13	('Drama', 'Action')	 American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966. 	James Mangold	('Matt Damon', 'Noah Jupe', 'Christian Bale', 'Josh Lucas', 'Caitriona Balfe', 'Remo Girone', 'Ray McKinnon', 'J.J. Feild', 'Tracy Letts', 'Jon Bernthal')	https://image.tmdb.org/t/p/w185/6ApDtO7xaWAfPqfi2IARXIzj8QS.jpg	https://image.tmdb.org/t/p/original/n3UanIvmnBlH531pykuzNs4LbH6.jpg	https://image.tmdb.org/t/p/original/mn9k8zapebAbCqsiKf24juhXjjx.jpg	https://image.tmdb.org/t/p/original/gX3w0Nniv2XNYZepdKMx4fBvouK.jpg
The Platform		 7	Nov. 08, 2019	95 Min.	Spain	TV-MA	('Drama', 'Science Fiction')	 A mysterious place, an indescribable prison, a deep hole. An unknown number of levels. Two inmates living on each level. A descending platform containing food for all of them. An inhuman fight for survival, but also an opportunity for solidarity… 	Asier Abio	('Mario Pardo', 'Txubio Fernández de Jáuregui', 'Alexandra Masangkay', 'Zorion Eguileor', 'Ivan Massagué', 'Algis Arlauskas', 'Eric Goode', 'Emilio Buale', 'Zihara Llana', 'Antonia San Juan')	https://image.tmdb.org/t/p/w185/8ZX18L5m6rH5viSYpRnTSbb9eXh.jpg	https://image.tmdb.org/t/p/original/3tkDMNfM2YuIAJlvGO6rfIzAnfG.jpg	https://image.tmdb.org/t/p/original/7hQyopDwtmwVBQHHcj8l5hkcJLG.jpg	https://image.tmdb.org/t/p/original/2bthpeVFKRtZpmVmXdvVLFQN6xt.jpg
